Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206,3427,616.24854100,2678216.40060401,0
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151,5233,972.86871000,4129123.31651808,0
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151,2153,274.33604200,1118001.87008735,0
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646,2321,376.79594700,1557401.33373730,0
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728,3972,557.35610700,2255662.55315837,0
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051,6494,423.99518100,1637188.36934226,0
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968,8629,309.41909200,1293567.09519463,0
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476,6247,206.82041200,868379.06413120,0
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327,6554,100.09797400,434577.13574645,0
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321,2260,56.19014100,241363.80050245,0
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557,3670,101.65135800,442442.17937215,0
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953,4349,142.78778200,612364.20611134,0
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991,4159,143.44256700,641982.02068658,0
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123,5551,196.06225200,894620.23750883,0
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184,4161,131.94732500,614342.53390234,0
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616,4000,118.66010300,566254.43089734,0
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817,7475,379.19986300,1738334.08541735,0
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181,6022,258.93453600,1169644.69159694,0
2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974,9317,578.60085100,2460362.61291664,0
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071,10084,533.47606500,2214297.83961246,0
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323,7956,422.92306300,1903231.74091540,0
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315,3070,240.68394900,1111299.24357466,0
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337,4733,465.96211900,2004277.28941755,0
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698,3777,287.98980500,1233627.00774409,0
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211,3435,291.78688700,1193884.03650449,0
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065,2956842.76250147,4228,322.19833000,1361869.71324406,0
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.630319,3725190.62328952,6501,451.78067000,1911015.26637066,0
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.462545,3570365.92571669,5019,363.05341300,1425986.44091325,0
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.021543,5914261.40460825,9066,761.15397600,2711572.43635069,0
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.866492,6588767.18669446,10445,966.12224500,3236325.66838306,0
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283,8809,624.88784200,2314536.03271908,0
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466,6355,273.93197600,994843.63045949,0
2017-09-18,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863,8220,417.63872200,1651863.37125876,0
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872,7342,257.32035200,1016803.88177532,0
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804,7231,395.27513800,1562210.14983916,0
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264,8714,517.25892600,1946238.63873747,0
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849,8152,511.05986900,1848104.61254174,0
2017-09-23,3595.88,3817.19,3542.91,3780.0,752.792791,2799706.99951511,8402,431.94671000,1608679.14327472,0
2017-09-24,3779.54,3789.99,3622.76,3660.02,661.63639,2445788.43620041,8724,290.93917000,1077964.32638088,0
2017-09-25,3660.02,3979.87,3653.69,3920.75,727.994713,2784170.85318322,9740,298.83915900,1144089.17964881,0
2017-09-26,3928.0,3976.99,3850.05,3882.35,526.727987,2061195.57868009,7971,225.57028300,883925.01856330,0
2017-09-27,3882.36,4249.94,3872.81,4193.0,628.170966,2554629.81447101,8373,348.08364100,1418522.03112125,0
2017-09-28,4192.11,4300.0,4101.0,4174.5,849.785325,3553178.87037354,11426,364.51745200,1525467.35780567,0
2017-09-29,4178.98,4263.86,3952.01,4174.69,1602.309565,6571746.35900076,14834,660.40823500,2706153.81551434,0
2017-09-30,4175.0,4380.0,4138.1,4378.51,720.353183,3088354.40084536,9324,292.96669300,1258540.22252994,0
2017-10-01,4378.49,4406.52,4240.04,4378.48,726.963685,3137143.89184457,9816,291.97590400,1263465.86667018,0
2017-10-02,4400.0,4561.63,4360.0,4380.0,655.756974,2905282.77570845,8185,289.54140600,1286786.89051625,0
2017-10-03,4380.0,4467.33,4180.8,4310.0,1082.323563,4627422.74283879,12379,492.73518100,2107462.11039911,0
2017-10-04,4314.9,4373.0,4142.0,4208.59,868.465101,3676415.10054891,11006,292.92877700,1237552.36930596,0
2017-10-05,4208.59,4355.0,4110.0,4292.43,779.138638,3295532.82397779,9158,351.04201900,1483036.83360606,0
2017-10-06,4318.99,4417.0,4292.0,4369.0,506.529176,2212035.12414239,6546,226.14817700,988106.60264063,0
2017-10-07,4369.0,4479.5,4312.56,4423.0,297.5975,1302533.21459281,4804,145.31307600,637146.85809303,0
2017-10-08,4425.0,4658.0,4425.0,4640.0,518.462004,2347356.46944654,7580,280.09485400,1268660.82999198,0
2017-10-09,4640.0,4889.98,4550.0,4786.95,646.463145,3040508.90436387,10372,350.75655900,1654274.63749423,0
2017-10-10,4786.95,4960.0,4680.59,4783.06,1043.221773,5044283.86347582,11967,678.83267400,3289613.76073974,0
2017-10-11,4783.06,4881.61,4710.0,4821.43,753.429396,3609240.90903919,5895,540.08797500,2586977.71897445,0
2017-10-12,4821.43,5439.99,4810.16,5430.0,1276.701482,6659759.29119366,8030,796.59471900,4149667.59915114,0
2017-10-13,5439.99,5846.17,5379.84,5649.98,1879.82762,10597340.30104987,11663,878.63807700,4945786.36371635,0
2017-10-14,5650.0,5900.0,5580.01,5869.99,970.759046,5533972.4859947,6259,433.79490400,2472775.20446234,0
2017-10-15,5855.03,5922.3,5400.01,5709.99,1343.523375,7553650.20132813,7452,601.42236100,3384776.70651666,0
2017-10-16,5710.0,5788.91,5585.19,5760.02,1528.996462,8701914.79553535,9153,719.21853800,4096285.84717841,0
2017-10-17,5760.0,5774.98,5508.63,5595.0,1429.869376,8041662.31881055,9755,688.76677900,3874630.11789208,0
2017-10-18,5595.0,5596.0,5037.95,5512.06,2317.804373,12456909.97604373,14824,1039.62247500,5582555.96464678,0
2017-10-19,5513.0,5710.0,5490.26,5683.9,1881.722107,10609368.77338359,11553,866.17223400,4889254.26776489,0
2017-10-20,5683.31,6110.0,5600.0,6010.01,1972.97722,11486552.1888066,11656,833.03745700,4827682.43818362,0
2017-10-21,6013.72,6171.0,5850.03,6024.97,1664.307693,10114821.44026351,10182,796.02257500,4842552.09005084,0
2017-10-22,6003.27,6060.0,5720.03,5950.02,1362.092216,8035415.37335629,8846,559.07234200,3298113.25431534,0
2017-10-23,5975.0,6080.0,5621.03,5915.93,1812.557715,10607190.98072695,10736,733.79107900,4292971.67402233,0
2017-10-24,5909.47,5925.0,5450.0,5477.03,2580.418767,14564495.85056032,13075,1128.82611700,6369508.22114772,0
2017-10-25,5506.92,5704.96,5286.98,5689.99,2282.813205,12544847.89154201,12026,1102.09132600,6072831.20164732,0
2017-10-26,5670.1,5939.99,5650.0,5861.77,1972.965882,11417126.63602561,11429,779.73999700,4524676.60186949,0
2017-10-27,5861.77,5980.0,5649.24,5768.83,1403.706416,8167069.73635031,8305,624.08740900,3639525.74476665,0
2017-10-28,5768.79,5850.02,5630.03,5719.64,1276.754412,7308076.01911184,8556,522.43712800,2992463.28829385,0
2017-10-29,5709.98,6189.88,5648.01,6169.98,1804.778173,10620967.62459168,10651,954.17019600,5607341.71306722,0
2017-10-30,6133.01,6248.68,6030.0,6120.5,1473.687043,9030219.28673499,9027,568.13297000,3484470.96871416,0
2017-10-31,6120.52,6498.01,6100.0,6463.0,1511.774925,9487640.8400991,12503,666.76356800,4189144.86604943,0
